종목명,시가총액
삼성전자,11063803
SK하이닉스,6631696
삼성전자우,1071375
현대차,994099
LG에너지솔루션,831870
SK스퀘어,735725
삼성바이오로직스,705474
한화에어로스페이스,656402
두산에너빌리티,648248
기아,628565
KB금융,540260
HD현대중공업,532153
삼성물산,462336
셀트리온,435064
삼성생명,433000
신한지주,425290
한화오션,367390
현대모비스,343423
미래에셋증권,343186
NAVER,327822
HD현대일렉트릭,326948
삼성전기,318942
고려아연,308711
삼성SDI,303807
하나금융지주,293077
한국전력,292736
한미반도체,285937
POSCO홀딩스,263437
HD한국조선해양,259737
LS ELECTRIC,247800
효성중공업,240387
SK,238171
한화시스템,234638
우리금융지주,232335
삼성중공업,230120
삼성화재,209351
카카오,208322
LG화학,204718
HD현대,189583
HMM,187327
현대로템,184014
기업은행,183807
LG전자,179012
SK이노베이션,178351
메리츠금융지주,177451
두산,173274
KT&G,172932
현대건설,171711
KODEX 200,171003
포스코퓨처엠,165885
한국항공우주,165513
현대글로비스,161250
SK텔레콤,159159
TIGER 미국S&P500,146279
KT,143148
LIG넥스원,140360
포스코인터내셔널,135636
LG,133247
삼성에피스홀딩스,127899
하이브,124358
DB손해보험,121769
에이피알,120738
S-Oil,118437
삼성에스디에스,118079
NH투자증권,116703
한국금융지주,116467
키움증권,112109
카카오뱅크,112105
현대오토에버,108873
크래프톤,108794
대한항공,89294
현대차2우B,86885
삼양식품,86253
LS,85020
이수페타시스,84861
삼성증권,84031
KODEX CD금리액티브(합성),81740
한화,81480
카카오페이,80729
한화솔루션,80360
TIGER 반도체TOP10,79347
아모레퍼시픽,79199
한진칼,78779
KODEX 미국S&P500,78588
TIGER 미국나스닥100,78339
HD현대마린솔루션,76303
KODEX 머니마켓액티브,75178
유한양행,74470
TIGER 200,72078
SK바이오팜,71657
대우건설,71362
삼성E&A,69286
KODEX 코스닥150,69114
LG이노텍,68280
삼성카드,68125
한국타이어앤테크놀로지,67264
LG유플러스,64990
한미약품,64311
HD건설기계,62174
한전기술,61916
