id,name,score,score2
1,Student1,71,82
2,Student2,100,67
3,Student3,98,91
4,Student4,71,91
5,Student5,81,78
6,Student6,75,66
7,Student7,50,56
8,Student8,64,67
9,Student9,88,92
10,Student10,53,78
11,Student11,52,89
12,Student12,58,51
13,Student13,77,68
14,Student14,89,56
15,Student15,86,94
16,Student16,53,54
17,Student17,71,59
18,Student18,93,80
19,Student19,80,89
20,Student20,76,93
21,Student21,91,63
22,Student22,86,77
23,Student23,85,95
24,Student24,69,52
25,Student25,50,89
26,Student26,57,87
27,Student27,82,62
28,Student28,88,85
29,Student29,54,50
30,Student30,86,64
31,Student31,64,64
32,Student32,62,100
33,Student33,66,87
34,Student34,90,97
35,Student35,84,58
36,Student36,96,71
37,Student37,59,88
38,Student38,62,100
39,Student39,78,71
40,Student40,67,50
41,Student41,51,78
42,Student42,87,76
43,Student43,54,61
44,Student44,89,98
45,Student45,71,61
46,Student46,81,95
47,Student47,78,59
48,Student48,63,58
49,Student49,94,67
50,Student50,85,81
51,Student51,60,60
52,Student52,93,75
53,Student53,77,97
54,Student54,78,83
55,Student55,96,99
56,Student56,88,84
57,Student57,70,66
58,Student58,69,61
59,Student59,95,53
60,Student60,90,62
61,Student61,80,66
62,Student62,64,91
63,Student63,66,61
64,Student64,56,93
65,Student65,69,82
66,Student66,66,65
67,Student67,95,98
68,Student68,81,99
69,Student69,52,80
70,Student70,88,86
71,Student71,74,99
72,Student72,54,76
73,Student73,97,56
74,Student74,55,93
75,Student75,76,59
76,Student76,55,60
77,Student77,77,62
78,Student78,71,56
79,Student79,84,97
80,Student80,60,67
81,Student81,63,91
82,Student82,55,51
83,Student83,91,67
84,Student84,69,81
85,Student85,89,97
86,Student86,57,56
87,Student87,80,64
88,Student88,82,72
89,Student89,80,75
90,Student90,54,94
91,Student91,67,64
92,Student92,79,86
93,Student93,94,98
94,Student94,71,65
95,Student95,94,56
96,Student96,70,50
97,Student97,94,100
98,Student98,64,79
99,Student99,55,80
100,Student100,56,95
101,Student101,67,95
102,Student102,52,67
103,Student103,64,66
104,Student104,68,64
105,Student105,87,96
106,Student106,50,96
107,Student107,100,97
108,Student108,52,94
109,Student109,64,86
110,Student110,59,62
111,Student111,88,58
112,Student112,99,51
113,Student113,76,70
114,Student114,60,94
115,Student115,93,74
116,Student116,76,65
117,Student117,74,77
118,Student118,51,66
119,Student119,88,75
120,Student120,86,89
121,Student121,51,64
122,Student122,87,68
123,Student123,69,79
124,Student124,71,55
125,Student125,68,51
126,Student126,52,55
127,Student127,52,80
128,Student128,77,57
129,Student129,67,99
130,Student130,68,86
131,Student131,89,90
132,Student132,56,53
133,Student133,72,53
134,Student134,73,75
135,Student135,96,79
136,Student136,58,92
137,Student137,79,72
138,Student138,72,54
139,Student139,89,80
140,Student140,96,77
141,Student141,89,78
142,Student142,51,97
143,Student143,83,61
144,Student144,92,90
145,Student145,90,88
146,Student146,55,96
147,Student147,77,73
148,Student148,60,91
149,Student149,93,73
150,Student150,57,96
151,Student151,56,78
152,Student152,63,68
153,Student153,91,77
154,Student154,52,75
155,Student155,55,50
156,Student156,89,67
157,Student157,79,96
158,Student158,69,73
159,Student159,53,52
160,Student160,93,60
161,Student161,52,66
162,Student162,85,67
163,Student163,94,90
164,Student164,98,99
165,Student165,78,71
166,Student166,72,78
167,Student167,91,70
168,Student168,62,84
169,Student169,89,56
170,Student170,75,63
171,Student171,89,99
172,Student172,98,58
173,Student173,80,87
174,Student174,75,67
175,Student175,52,56
176,Student176,66,54
177,Student177,50,94
178,Student178,61,62
179,Student179,82,67
180,Student180,52,55
181,Student181,95,92
182,Student182,60,97
183,Student183,86,56
